Type,Local ID,Message,Field 0,Value 0,Units 0,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25
Definition,3,file_id,serial_number,4,bytes,time_created,4,bytes,product_name,20,bytes,manufacturer,2,bytes,product,2,bytes,number,2,bytes,type,1,bytes
Data,3,file_id,serial_number,224201849,,time_created,1682905293000,ms,product_name,616-165,,manufacturer,107,,product,98,,number,65535,,type,4,
Definition,1,software,part_number,16,bytes,message_index,2,bytes,version,2,bytes
Data,1,software,part_number,MAGENE C406 PRO,,message_index,1,,version,307.0,
Definition,7,user_profile,height,1,bytes,weight,2,bytes,position_setting,1,bytes
Data,7,user_profile,height,1.75,m,weight,78.0,kg,position_setting,0,
Definition,2,device_info,device_type,1,bytes,product,2,bytes,product_name,20,bytes,manufacturer,2,bytes,ant_device_number,2,bytes,ant_transmission_type,1,bytes,source_type,1,bytes,device_index,1,bytes,software_version,2,bytes,hardware_version,1,bytes,serial_number,4,bytes
Data,2,device_info,device_type,122,,product,65535,,product_name,61167-1,,manufacturer,65535,,ant_device_number,61167,,ant_transmission_type,1,,source_type,1,,device_index,1,,software_version,1.0,,hardware_version,1,,serial_number,60508,
Definition,3,record,timestamp,4,bytes,cadence,1,bytes,temperature,1,bytes
Data,3,record,timestamp,1682905294000,ms,cadence,0,rpm,temperature,22,C
Definition,4,software,part_number,16,bytes,message_index,2,bytes,version,2,bytes
Data,4,software,part_number,USER_OPERATION,,message_index,22,,version,307.0,
Definition,4,software,part_number,16,bytes,message_index,2,bytes,version,2,bytes
Data,4,software,part_number,USER_OPERATION,,message_index,23,,version,307.0,
Definition,1,record,timestamp,4,bytes,speed,2,bytes,cadence,1,bytes,temperature,1,bytes,distance,4,bytes,grade,2,bytes,altitude,2,bytes,position_lat,4,bytes,position_long,4,bytes
Data,1,record,timestamp,1682905392000,ms,speed,2.11,m/s,cadence,0,rpm,temperature,22,C,distance,1.0,m,grade,0.0,%,altitude,48.0,m,position_lat,29.53657996840775,degrees,position_long,119.37377993948758,degrees
Data,1,record,timestamp,1682905393000,ms,speed,1.826,m/s,cadence,0,rpm,temperature,22,C,distance,1.73,m,grade,0.0,%,altitude,48.0,m,position_lat,29.53657996840775,degrees,position_long,119.37378999777138,degrees
Data,1,record,timestamp,1682905394000,ms,speed,1.826,m/s,cadence,0,rpm,temperature,22,C,distance,4.95,m,grade,0.0,%,altitude,48.200000000000045,m,position_lat,29.536589942872524,degrees,position_long,119.3738199211657,degrees
Data,1,record,timestamp,1682905395000,ms,speed,1.96,m/s,cadence,45,rpm,temperature,22,C,distance,6.43,m,grade,0.0,%,altitude,48.200000000000045,m,position_lat,29.536589942872524,degrees,position_long,119.37382997944951,degrees
Data,1,record,timestamp,1682905396000,ms,speed,2.356,m/s,cadence,45,rpm,temperature,22,C,distance,9.57,m,grade,0.0,%,altitude,48.200000000000045,m,position_lat,29.5365999173373,degrees,position_long,119.37385998666286,degrees
Data,1,record,timestamp,1682905397000,ms,speed,2.523,m/s,cadence,45,rpm,temperature,22,C,distance,11.05,m,grade,0.0,%,altitude,48.200000000000045,m,position_lat,29.5365999173373,degrees,position_long,119.37387993559241,degrees
Data,1,record,timestamp,1682905398000,ms,speed,2.72,m/s,cadence,45,rpm,temperature,22,C,distance,14.19,m,grade,0.0,%,altitude,48.200000000000045,m,position_lat,29.536589942872524,degrees,position_long,119.37390994280577,degrees
Data,1,record,timestamp,1682905399000,ms,speed,2.916,m/s,cadence,45,rpm,temperature,22,C,distance,16.41,m,grade,0.0,%,altitude,48.200000000000045,m,position_lat,29.536589942872524,degrees,position_long,119.37392997555435,degrees
Data,1,record,timestamp,1682905400000,ms,speed,3.146,m/s,cadence,43,rpm,temperature,22,C,distance,20.1,m,grade,0.0,%,altitude,48.0,m,position_lat,29.536589942872524,degrees,position_long,119.37396995723248,degrees
